,customer_name,gender,age,city,state,order_id,order_date,delivery_date,product_id,price_per_unit,quantity,total_price,product_type,product_name,size,colour,stock,delivary_duration
0,Leanna Busson,Female,30,Johnstonhaven,Northern Territory,455,2021-04-04,2021-04-06,211,106,3,318,Shirt,Chambray,S,red,72,2
1,Leanna Busson,Female,30,Johnstonhaven,Northern Territory,455,2021-04-04,2021-04-06,783,91,2,182,Jacket,Pullover,L,yellow,43,2
2,Leanna Busson,Female,30,Johnstonhaven,Northern Territory,670,2021-03-06,2021-04-01,525,98,2,196,Jacket,Leather,XS,red,67,2
3,Leanna Busson,Female,30,Johnstonhaven,Northern Territory,670,2021-03-06,2021-04-01,792,91,2,182,Jacket,Pullover,M,blue,44,2
4,Leanna Busson,Female,30,Johnstonhaven,Northern Territory,670,2021-03-06,2021-04-01,179,98,1,98,Shirt,Camp Collared,XL,red,79,2
5,Leanna Busson,Female,30,Johnstonhaven,Northern Territory,670,2021-03-06,2021-04-01,789,91,3,273,Jacket,Pullover,XL,green,65,2
6,Leanna Busson,Female,30,Johnstonhaven,Northern Territory,729,2021-02-18,2021-03-01,197,98,3,294,Shirt,Camp Collared,M,blue,65,1
7,Leanna Busson,Female,30,Johnstonhaven,Northern Territory,729,2021-02-18,2021-03-01,558,98,1,98,Jacket,Leather,L,violet,78,1
8,Winslow Ewbanck,Bigender,76,Masonfurt,Queensland,465,2021-05-21,2021-05-23,1118,115,3,345,Trousers,Cropped,L,violet,40,2
9,Winslow Ewbanck,Bigender,76,Masonfurt,Queensland,465,2021-05-21,2021-05-23,1259,112,2,224,Trousers,Tracksuit Bottoms,XL,violet,60,2
10,Winslow Ewbanck,Bigender,76,Masonfurt,Queensland,465,2021-05-21,2021-05-23,811,117,1,117,Jacket,Shearling,S,orange,53,2
11,Winslow Ewbanck,Bigender,76,Masonfurt,Queensland,465,2021-05-21,2021-05-23,408,119,1,119,Shirt,Casual Slim Fit,L,blue,75,2
12,Winslow Ewbanck,Bigender,76,Masonfurt,Queensland,465,2021-05-21,2021-05-23,1010,106,2,212,Trousers,Wool,XS,violet,80,2
13,Susanetta Wilshin,Bigender,70,Joelburgh,Western Australia,595,2021-03-09,2021-03-29,1023,90,3,270,Trousers,Relaxed Leg,L,orange,78,2
14,Michaeline McIndrew,Agender,39,Georgeland,Northern Territory,560,2021-05-28,2021-06-05,144,91,2,182,Shirt,Linen,XL,red,47,8
15,Michaeline McIndrew,Agender,39,Georgeland,Northern Territory,560,2021-05-28,2021-06-05,590,100,2,200,Jacket,Bomber,XS,violet,75,8
16,Fedora Dmych,Bigender,78,Taylorburgh,South Australia,134,2021-06-19,2021-07-01,770,91,1,91,Jacket,Pullover,XS,red,54,1
17,Fedora Dmych,Bigender,78,Taylorburgh,South Australia,134,2021-06-19,2021-07-01,516,102,2,204,Jacket,Windbreaker,S,indigo,62,1
18,Fedora Dmych,Bigender,78,Taylorburgh,South Australia,134,2021-06-19,2021-07-01,989,106,2,212,Trousers,Wool,XL,orange,56,1
19,Fedora Dmych,Bigender,78,Taylorburgh,South Australia,134,2021-06-19,2021-07-01,407,119,2,238,Shirt,Casual Slim Fit,M,blue,61,1
20,Fedora Dmych,Bigender,78,Taylorburgh,South Australia,134,2021-06-19,2021-07-01,840,113,2,226,Trousers,Chinos,XS,red,69,1
21,Fedora Dmych,Bigender,78,Taylorburgh,South Australia,134,2021-06-19,2021-07-01,185,98,2,196,Shirt,Camp Collared,XS,yellow,55,1
22,Fedora Dmych,Bigender,78,Taylorburgh,South Australia,134,2021-06-19,2021-07-01,653,93,3,279,Jacket,Coach,L,blue,80,1
23,Fedora Dmych,Bigender,78,Taylorburgh,South Australia,134,2021-06-19,2021-07-01,1194,105,1,105,Trousers,Pleated,XL,red,58,1
24,Marabel Swinfon,Male,42,Maddisonmouth,Queensland,398,2021-09-28,2021-10-13,503,102,1,102,Jacket,Windbreaker,L,yellow,70,1
25,Marabel Swinfon,Male,42,Maddisonmouth,Queensland,398,2021-09-28,2021-10-13,472,118,1,118,Jacket,Puffer,M,green,72,1
26,Marabel Swinfon,Male,42,Maddisonmouth,Queensland,398,2021-09-28,2021-10-13,611,112,1,112,Jacket,Cardigan,S,green,62,1
27,Avril Rossiter,Genderfluid,34,Kiehnburgh,Western Australia,200,2021-08-24,2021-09-07,758,109,3,327,Jacket,Peacoat,L,blue,64,1
28,Avril Rossiter,Genderfluid,34,Kiehnburgh,Western Australia,200,2021-08-24,2021-09-07,1158,99,2,198,Trousers,High-Waisted,L,red,52,1
29,Avril Rossiter,Genderfluid,34,Kiehnburgh,Western Australia,200,2021-08-24,2021-09-07,964,97,2,194,Trousers,Slim-Fit,XL,green,67,1
30,Avril Rossiter,Genderfluid,34,Kiehnburgh,Western Australia,200,2021-08-24,2021-09-07,135,92,2,184,Shirt,Denim,XS,violet,73,1
31,Avril Rossiter,Genderfluid,34,Kiehnburgh,Western Australia,200,2021-08-24,2021-09-07,842,113,3,339,Trousers,Chinos,M,red,54,1
32,Avril Rossiter,Genderfluid,34,Kiehnburgh,Western Australia,200,2021-08-24,2021-09-07,992,106,1,106,Trousers,Wool,M,yellow,43,1
33,Avril Rossiter,Genderfluid,34,Kiehnburgh,Western Australia,995,2021-04-14,2021-04-28,564,100,3,300,Jacket,Bomber,XL,red,62,1
34,Avril Rossiter,Genderfluid,34,Kiehnburgh,Western Australia,995,2021-04-14,2021-04-28,837,117,1,117,Jacket,Shearling,M,violet,74,1
35,Avril Rossiter,Genderfluid,34,Kiehnburgh,Western Australia,995,2021-04-14,2021-04-28,536,98,1,98,Jacket,Leather,S,yellow,41,1
